Ano;Município;Código do Município;Sexo;Até 24 anos;De 25 a 29 anos;De 30 a 39 anos;De 40 a 49 anos;De 50 a 54 anos;De 55 a 59 anos;60 anos ou mais
2022;Afonso Cláudio ;3200102;Feminino;9;24;99;131;28;18;1
2022;Água Doce do Norte ;3200169;Feminino;2;12;29;49;15;5;1
2022;Águia Branca ;3200136;Feminino;11;31;42;44;12;9;0
2022;Alegre ;3200201;Feminino;13;29;79;114;60;25;15
2022;Alfredo Chaves ;3200300;Feminino;5;13;42;58;23;13;6
2022;Alto Rio Novo ;3200359;Feminino;1;5;29;31;6;4;1
2022;Anchieta ;3200409;Feminino;3;12;95;251;65;34;25
2022;Apiacá ;3200508;Feminino;1;1;19;28;10;9;10
2022;Aracruz ;3200607;Feminino;12;58;255;392;123;61;27
2022;Atílio Vivácqua ;3200706;Feminino;0;9;33;57;12;15;10
2022;Baixo Guandu ;3200805;Feminino;6;15;58;139;39;25;9
2022;Barra de São Francisco ;3200904;Feminino;9;49;151;153;43;19;4
2022;Boa Esperança ;3201001;Feminino;3;17;62;79;28;2;7
2022;Bom Jesus do Norte ;3201100;Feminino;3;3;22;32;14;15;5
2022;Brejetuba ;3201159;Feminino;3;13;55;60;27;7;2
2022;Cachoeiro de Itapemirim ;3201209;Feminino;35;147;547;693;171;145;75
2022;Cariacica ;3201308;Feminino;49;288;939;1133;363;257;183
2022;Castelo ;3201407;Feminino;3;18;108;173;51;26;19
2022;Colatina ;3201506;Feminino;22;127;391;386;149;79;37
2022;Conceição da Barra ;3201605;Feminino;13;28;111;121;38;18;5
2022;Conceição do Castelo ;3201704;Feminino;1;6;54;55;17;11;2
2022;Divino de São Lourenço ;3201803;Feminino;1;5;16;16;4;2;2
2022;Domingos Martins ;3201902;Feminino;19;55;139;138;26;16;3
2022;Dores do Rio Preto ;3202009;Feminino;0;3;28;29;9;2;3
2022;Ecoporanga ;3202108;Feminino;5;27;78;96;31;10;6
2022;Fundão ;3202207;Feminino;1;7;38;65;47;22;15
2022;Governador Lindenberg ;3202256;Feminino;9;21;39;38;17;7;2
2022;Guaçuí ;3202306;Feminino;9;33;75;133;34;27;15
2022;Guarapari ;3202405;Feminino;12;56;265;485;148;105;48
2022;Ibatiba ;3202454;Feminino;7;24;55;86;24;9;2
2022;Ibiraçu ;3202504;Feminino;2;13;36;50;16;9;6
2022;Ibitirama ;3202553;Feminino;6;22;35;54;8;10;2
2022;Iconha ;3202603;Feminino;1;9;31;51;16;9;2
2022;Irupi ;3202652;Feminino;2;9;50;52;9;10;2
2022;Itaguaçu ;3202702;Feminino;10;14;71;66;16;10;3
2022;Itapemirim ;3202801;Feminino;8;20;140;235;74;61;45
2022;Itarana ;3202900;Feminino;3;4;39;41;16;8;3
2022;Iúna ;3203007;Feminino;11;41;115;108;15;11;5
2022;Jaguaré ;3203056;Feminino;11;30;119;128;41;16;2
2022;Jerônimo Monteiro ;3203106;Feminino;0;5;37;47;15;8;3
2022;João Neiva ;3203130;Feminino;1;17;59;74;14;10;4
2022;Laranja da Terra ;3203163;Feminino;2;12;48;32;10;7;5
2022;Linhares ;3203205;Feminino;28;176;560;691;211;91;48
2022;Mantenópolis ;3203304;Feminino;6;12;41;44;14;5;2
2022;Marataízes ;3203320;Feminino;4;27;213;249;85;48;22
2022;Marechal Floriano ;3203346;Feminino;5;20;60;66;24;9;4
2022;Marilândia ;3203353;Feminino;11;18;61;46;14;1;3
2022;Mimoso do Sul ;3203403;Feminino;5;17;56;88;31;13;10
2022;Montanha ;3203502;Feminino;1;17;76;113;34;16;7
2022;Mucurici ;3203601;Feminino;1;8;28;31;11;5;2
2022;Muniz Freire ;3203700;Feminino;6;29;63;67;32;13;2
2022;Muqui ;3203809;Feminino;2;5;39;49;20;15;15
2022;Nova Venécia ;3203908;Feminino;8;69;211;252;70;39;16
2022;Pancas ;3204005;Feminino;5;18;52;62;34;9;5
2022;Pedro Canário ;3204054;Feminino;3;13;72;95;34;19;6
2022;Pinheiros ;3204104;Feminino;4;10;49;92;35;31;18
2022;Piúma ;3204203;Feminino;1;7;74;126;31;24;10
2022;Ponto Belo ;3204252;Feminino;0;1;23;34;10;5;4
2022;Presidente Kennedy ;3204302;Feminino;0;18;81;127;27;21;13
2022;Rio Bananal ;3204351;Feminino;6;41;91;82;28;7;2
2022;Rio Novo do Sul ;3204401;Feminino;4;15;35;49;12;8;4
2022;Santa Leopoldina ;3204500;Feminino;6;12;36;48;9;9;1
